State,Year,Week,Men,Women,MenN,WomenN
AGU,2015,47,0,0,0.0,0.0
AGU,2015,48,0,0,0.0,0.0
AGU,2015,49,0,0,0.0,0.0
AGU,2015,50,0,0,0.0,0.0
AGU,2015,51,0,0,0.0,0.0
AGU,2015,52,0,0,0.0,0.0
AGU,2016,1,0,0,0.0,0.0
AGU,2016,2,0,0,0.0,0.0
AGU,2016,3,0,0,0.0,0.0
AGU,2016,4,0,0,0.0,0.0
AGU,2016,5,0,0,0.0,0.0
AGU,2016,6,0,0,0.0,0.0
AGU,2016,7,0,0,0.0,0.0
AGU,2016,8,0,0,0.0,0.0
AGU,2016,9,0,0,0.0,0.0
AGU,2016,10,0,0,0.0,0.0
AGU,2016,11,0,0,0.0,0.0
AGU,2016,12,0,0,0.0,0.0
AGU,2016,13,0,0,0.0,0.0
AGU,2016,14,0,0,0.0,0.0
AGU,2016,15,0,0,0.0,0.0
AGU,2016,16,0,0,0.0,0.0
AGU,2016,17,0,0,0.0,0.0
AGU,2016,18,0,0,0.0,0.0
AGU,2016,19,0,0,0.0,0.0
AGU,2016,20,0,0,0.0,0.0
AGU,2016,21,0,0,0.0,0.0
AGU,2016,22,0,0,0.0,0.0
AGU,2016,23,0,0,0.0,0.0
AGU,2016,24,0,0,0.0,0.0
AGU,2016,25,0,0,0.0,0.0
BCN,2015,47,0,0,0.0,0.0
BCN,2015,48,0,0,0.0,0.0
BCN,2015,49,0,0,0.0,0.0
BCN,2015,50,0,0,0.0,0.0
BCN,2015,51,0,0,0.0,0.0
BCN,2015,52,0,0,0.0,0.0
BCN,2016,1,0,0,0.0,0.0
BCN,2016,2,0,0,0.0,0.0
BCN,2016,3,0,0,0.0,0.0
BCN,2016,4,0,0,0.0,0.0
BCN,2016,5,0,0,0.0,0.0
BCN,2016,6,0,0,0.0,0.0
BCN,2016,7,0,0,0.0,0.0
BCN,2016,8,0,0,0.0,0.0
BCN,2016,9,0,0,0.0,0.0
BCN,2016,10,0,0,0.0,0.0
BCN,2016,11,0,0,0.0,0.0
BCN,2016,12,0,0,0.0,0.0
BCN,2016,13,0,0,0.0,0.0
BCN,2016,14,0,0,0.0,0.0
BCN,2016,15,0,0,0.0,0.0
BCN,2016,16,0,0,0.0,0.0
BCN,2016,17,0,0,0.0,0.0
BCN,2016,18,0,0,0.0,0.0
BCN,2016,19,0,0,0.0,0.0
BCN,2016,20,0,0,0.0,0.0
BCN,2016,21,0,0,0.0,0.0
BCN,2016,22,0,0,0.0,0.0
BCN,2016,23,0,0,0.0,0.0
BCN,2016,24,0,0,0.0,0.0
BCN,2016,25,0,0,0.0,0.0
BCS,2015,47,0,0,0.0,0.0
BCS,2015,48,0,0,0.0,0.0
BCS,2015,49,0,0,0.0,0.0
BCS,2015,50,0,0,0.0,0.0
BCS,2015,51,0,0,0.0,0.0
BCS,2015,52,0,0,0.0,0.0
BCS,2016,1,0,0,0.0,0.0
BCS,2016,2,0,0,0.0,0.0
BCS,2016,3,0,0,0.0,0.0
BCS,2016,4,0,0,0.0,0.0
BCS,2016,5,0,0,0.0,0.0
BCS,2016,6,0,0,0.0,0.0
BCS,2016,7,0,0,0.0,0.0
BCS,2016,8,0,0,0.0,0.0
BCS,2016,9,0,0,0.0,0.0
BCS,2016,10,0,0,0.0,0.0
BCS,2016,11,0,0,0.0,0.0
BCS,2016,12,0,0,0.0,0.0
BCS,2016,13,0,0,0.0,0.0
BCS,2016,14,0,0,0.0,0.0
BCS,2016,15,0,0,0.0,0.0
BCS,2016,16,0,0,0.0,0.0
BCS,2016,17,0,0,0.0,0.0
BCS,2016,18,0,0,0.0,0.0
BCS,2016,19,0,0,0.0,0.0
BCS,2016,20,0,0,0.0,0.0
BCS,2016,21,0,0,0.0,0.0
BCS,2016,22,0,0,0.0,0.0
BCS,2016,23,0,0,0.0,0.0
BCS,2016,24,0,0,0.0,0.0
BCS,2016,25,0,0,0.0,0.0
CAM,2015,47,0,0,0.0,0.0
CAM,2015,48,0,0,0.0,0.0
CAM,2015,49,0,0,0.0,0.0
CAM,2015,50,0,0,0.0,0.0
CAM,2015,51,0,0,0.0,0.0
CAM,2015,52,0,0,0.0,0.0
CAM,2016,1,0,0,0.0,0.0
CAM,2016,2,0,0,0.0,0.0
CAM,2016,3,0,0,0.0,0.0
CAM,2016,4,0,0,0.0,0.0
CAM,2016,5,0,0,0.0,0.0
CAM,2016,6,0,0,0.0,0.0
CAM,2016,7,0,0,0.0,0.0
CAM,2016,8,0,0,0.0,0.0
CAM,2016,9,0,0,0.0,0.0
CAM,2016,10,0,0,0.0,0.0
CAM,2016,11,0,0,0.0,0.0
CAM,2016,12,0,0,0.0,0.0
CAM,2016,13,0,0,0.0,0.0
CAM,2016,14,0,0,0.0,0.0
CAM,2016,15,0,0,0.0,0.0
CAM,2016,16,0,0,0.0,0.0
CAM,2016,17,0,0,0.0,0.0
CAM,2016,18,0,0,0.0,0.0
CAM,2016,19,0,0,0.0,0.0
CAM,2016,20,0,0,0.0,0.0
CAM,2016,21,0,0,0.0,0.0
CAM,2016,22,0,0,0.0,0.0
CAM,2016,23,1,2,2.45265757712e-06,4.8225308642e-06
CAM,2016,24,1,3,2.45265757712e-06,7.2337962963e-06
CAM,2016,25,0,1,0.0,2.4112654321e-06
COA,2015,47,0,0,0.0,0.0
COA,2015,48,0,0,0.0,0.0
COA,2015,49,0,0,0.0,0.0
COA,2015,50,0,0,0.0,0.0
COA,2015,51,0,0,0.0,0.0
COA,2015,52,0,0,0.0,0.0
COA,2016,1,0,0,0.0,0.0
COA,2016,2,0,0,0.0,0.0
COA,2016,3,0,0,0.0,0.0
COA,2016,4,0,0,0.0,0.0
COA,2016,5,0,0,0.0,0.0
COA,2016,6,0,0,0.0,0.0
COA,2016,7,0,0,0.0,0.0
COA,2016,8,0,0,0.0,0.0
COA,2016,9,0,0,0.0,0.0
COA,2016,10,0,0,0.0,0.0
COA,2016,11,0,0,0.0,0.0
COA,2016,12,0,0,0.0,0.0
COA,2016,13,0,0,0.0,0.0
COA,2016,14,0,0,0.0,0.0
COA,2016,15,0,0,0.0,0.0
COA,2016,16,0,0,0.0,0.0
COA,2016,17,0,0,0.0,0.0
COA,2016,18,0,0,0.0,0.0
COA,2016,19,0,0,0.0,0.0
COA,2016,20,0,0,0.0,0.0
COA,2016,21,0,0,0.0,0.0
COA,2016,22,0,0,0.0,0.0
COA,2016,23,0,0,0.0,0.0
COA,2016,24,0,0,0.0,0.0
COA,2016,25,0,0,0.0,0.0
COL,2015,47,0,0,0.0,0.0
COL,2015,48,0,0,0.0,0.0
COL,2015,49,0,0,0.0,0.0
COL,2015,50,0,0,0.0,0.0
COL,2015,51,0,0,0.0,0.0
COL,2015,52,0,0,0.0,0.0
COL,2016,1,0,0,0.0,0.0
COL,2016,2,0,0,0.0,0.0
COL,2016,3,0,0,0.0,0.0
COL,2016,4,0,0,0.0,0.0
COL,2016,5,0,0,0.0,0.0
COL,2016,6,0,0,0.0,0.0
COL,2016,7,0,0,0.0,0.0
COL,2016,8,0,0,0.0,0.0
COL,2016,9,0,0,0.0,0.0
COL,2016,10,0,0,0.0,0.0
COL,2016,11,0,0,0.0,0.0
COL,2016,12,0,0,0.0,0.0
COL,2016,13,0,0,0.0,0.0
COL,2016,14,0,0,0.0,0.0
COL,2016,15,0,0,0.0,0.0
COL,2016,16,0,0,0.0,0.0
COL,2016,17,0,0,0.0,0.0
COL,2016,18,0,0,0.0,0.0
COL,2016,19,0,0,0.0,0.0
COL,2016,20,0,0,0.0,0.0
COL,2016,21,0,0,0.0,0.0
COL,2016,22,0,0,0.0,0.0
COL,2016,23,0,1,0.0,3.05096639361e-06
COL,2016,24,0,0,0.0,0.0
COL,2016,25,0,4,0.0,1.22038655744e-05
CHP,2015,47,1,0,4.25024237007e-07,0.0
CHP,2015,48,0,0,0.0,0.0
CHP,2015,49,0,0,0.0,0.0
CHP,2015,50,0,0,0.0,0.0
CHP,2015,51,0,0,0.0,0.0
CHP,2015,52,4,4,1.70009694803e-06,1.6368132392e-06
CHP,2016,1,0,0,0.0,0.0
CHP,2016,2,1,2,4.25024237007e-07,8.184066196e-07
CHP,2016,3,5,6,2.12512118504e-06,2.4552198588e-06
CHP,2016,4,3,8,1.27507271102e-06,3.2736264784e-06
CHP,2016,5,2,8,8.50048474014e-07,3.2736264784e-06
CHP,2016,6,1,8,4.25024237007e-07,3.2736264784e-06
CHP,2016,7,2,1,8.50048474014e-07,4.092033098e-07
CHP,2016,8,1,14,4.25024237007e-07,5.7288463372e-06
CHP,2016,9,0,3,0.0,1.2276099294e-06
CHP,2016,10,0,7,0.0,2.8644231686e-06
CHP,2016,11,1,5,4.25024237007e-07,2.046016549e-06
CHP,2016,12,5,9,2.12512118504e-06,3.6828297882e-06
CHP,2016,13,3,7,1.27507271102e-06,2.8644231686e-06
CHP,2016,14,2,9,8.50048474014e-07,3.6828297882e-06
CHP,2016,15,0,1,0.0,4.092033098e-07
CHP,2016,16,0,5,0.0,2.046016549e-06
CHP,2016,17,1,2,4.25024237007e-07,8.184066196e-07
CHP,2016,18,0,0,0.0,0.0
CHP,2016,19,0,1,0.0,4.092033098e-07
CHP,2016,20,0,0,0.0,0.0
CHP,2016,21,3,7,1.27507271102e-06,2.8644231686e-06
CHP,2016,22,0,7,0.0,2.8644231686e-06
CHP,2016,23,0,0,0.0,0.0
CHP,2016,24,7,52,2.97516965905e-06,2.12785721096e-05
CHP,2016,25,1,42,4.25024237007e-07,1.71865390116e-05
CHH,2015,47,0,0,0.0,0.0
CHH,2015,48,0,0,0.0,0.0
CHH,2015,49,0,0,0.0,0.0
CHH,2015,50,0,0,0.0,0.0
CHH,2015,51,0,0,0.0,0.0
CHH,2015,52,0,0,0.0,0.0
CHH,2016,1,0,0,0.0,0.0
CHH,2016,2,0,0,0.0,0.0
CHH,2016,3,0,0,0.0,0.0
CHH,2016,4,0,0,0.0,0.0
CHH,2016,5,0,0,0.0,0.0
CHH,2016,6,0,0,0.0,0.0
CHH,2016,7,0,0,0.0,0.0
CHH,2016,8,0,0,0.0,0.0
CHH,2016,9,0,0,0.0,0.0
CHH,2016,10,0,0,0.0,0.0
CHH,2016,11,0,0,0.0,0.0
CHH,2016,12,0,0,0.0,0.0
CHH,2016,13,0,0,0.0,0.0
CHH,2016,14,0,0,0.0,0.0
CHH,2016,15,0,0,0.0,0.0
CHH,2016,16,0,0,0.0,0.0
CHH,2016,17,0,0,0.0,0.0
CHH,2016,18,0,0,0.0,0.0
CHH,2016,19,0,0,0.0,0.0
CHH,2016,20,0,0,0.0,0.0
CHH,2016,21,0,0,0.0,0.0
CHH,2016,22,0,0,0.0,0.0
CHH,2016,23,0,0,0.0,0.0
CHH,2016,24,0,0,0.0,0.0
CHH,2016,25,0,0,0.0,0.0
DIF,2015,47,0,0,0.0,0.0
DIF,2015,48,0,0,0.0,0.0
DIF,2015,49,0,0,0.0,0.0
DIF,2015,50,0,0,0.0,0.0
DIF,2015,51,0,0,0.0,0.0
DIF,2015,52,0,0,0.0,0.0
DIF,2016,1,0,0,0.0,0.0
DIF,2016,2,0,0,0.0,0.0
DIF,2016,3,0,0,0.0,0.0
DIF,2016,4,0,0,0.0,0.0
DIF,2016,5,0,0,0.0,0.0
DIF,2016,6,0,0,0.0,0.0
DIF,2016,7,0,0,0.0,0.0
DIF,2016,8,0,0,0.0,0.0
DIF,2016,9,0,0,0.0,0.0
DIF,2016,10,0,0,0.0,0.0
DIF,2016,11,0,0,0.0,0.0
DIF,2016,12,0,0,0.0,0.0
DIF,2016,13,0,0,0.0,0.0
DIF,2016,14,0,0,0.0,0.0
DIF,2016,15,0,0,0.0,0.0
DIF,2016,16,0,0,0.0,0.0
DIF,2016,17,0,0,0.0,0.0
DIF,2016,18,0,0,0.0,0.0
DIF,2016,19,0,0,0.0,0.0
DIF,2016,20,0,0,0.0,0.0
DIF,2016,21,0,0,0.0,0.0
DIF,2016,22,0,0,0.0,0.0
DIF,2016,23,0,0,0.0,0.0
DIF,2016,24,0,0,0.0,0.0
DIF,2016,25,0,0,0.0,0.0
DUR,2015,47,0,0,0.0,0.0
DUR,2015,48,0,0,0.0,0.0
DUR,2015,49,0,0,0.0,0.0
DUR,2015,50,0,0,0.0,0.0
DUR,2015,51,0,0,0.0,0.0
DUR,2015,52,0,0,0.0,0.0
DUR,2016,1,0,0,0.0,0.0
DUR,2016,2,0,0,0.0,0.0
DUR,2016,3,0,0,0.0,0.0
DUR,2016,4,0,0,0.0,0.0
DUR,2016,5,0,0,0.0,0.0
DUR,2016,6,0,0,0.0,0.0
DUR,2016,7,0,0,0.0,0.0
DUR,2016,8,0,0,0.0,0.0
DUR,2016,9,0,0,0.0,0.0
DUR,2016,10,0,0,0.0,0.0
DUR,2016,11,0,0,0.0,0.0
DUR,2016,12,0,0,0.0,0.0
DUR,2016,13,0,0,0.0,0.0
DUR,2016,14,0,0,0.0,0.0
DUR,2016,15,0,0,0.0,0.0
DUR,2016,16,0,0,0.0,0.0
DUR,2016,17,0,0,0.0,0.0
DUR,2016,18,0,0,0.0,0.0
DUR,2016,19,0,0,0.0,0.0
DUR,2016,20,0,0,0.0,0.0
DUR,2016,21,0,0,0.0,0.0
DUR,2016,22,0,0,0.0,0.0
DUR,2016,23,0,0,0.0,0.0
DUR,2016,24,0,0,0.0,0.0
DUR,2016,25,0,0,0.0,0.0
GUA,2015,47,0,0,0.0,0.0
GUA,2015,48,0,0,0.0,0.0
GUA,2015,49,0,0,0.0,0.0
GUA,2015,50,0,0,0.0,0.0
GUA,2015,51,0,0,0.0,0.0
GUA,2015,52,0,0,0.0,0.0
GUA,2016,1,0,0,0.0,0.0
GUA,2016,2,0,0,0.0,0.0
GUA,2016,3,0,0,0.0,0.0
GUA,2016,4,0,0,0.0,0.0
GUA,2016,5,0,0,0.0,0.0
GUA,2016,6,0,0,0.0,0.0
GUA,2016,7,0,0,0.0,0.0
GUA,2016,8,0,0,0.0,0.0
GUA,2016,9,0,0,0.0,0.0
GUA,2016,10,0,0,0.0,0.0
GUA,2016,11,0,0,0.0,0.0
GUA,2016,12,0,0,0.0,0.0
GUA,2016,13,0,0,0.0,0.0
GUA,2016,14,0,0,0.0,0.0
GUA,2016,15,0,0,0.0,0.0
GUA,2016,16,0,0,0.0,0.0
GUA,2016,17,0,0,0.0,0.0
GUA,2016,18,0,0,0.0,0.0
GUA,2016,19,0,0,0.0,0.0
GUA,2016,20,0,0,0.0,0.0
GUA,2016,21,0,0,0.0,0.0
GUA,2016,22,0,0,0.0,0.0
GUA,2016,23,0,0,0.0,0.0
GUA,2016,24,0,0,0.0,0.0
GUA,2016,25,0,0,0.0,0.0
GRO,2015,47,0,0,0.0,0.0
GRO,2015,48,0,0,0.0,0.0
GRO,2015,49,0,0,0.0,0.0
GRO,2015,50,0,0,0.0,0.0
GRO,2015,51,0,0,0.0,0.0
GRO,2015,52,0,0,0.0,0.0
GRO,2016,1,0,0,0.0,0.0
GRO,2016,2,0,0,0.0,0.0
GRO,2016,3,0,0,0.0,0.0
GRO,2016,4,0,1,0.0,5.73655337547e-07
GRO,2016,5,0,1,0.0,5.73655337547e-07
GRO,2016,6,1,0,6.07695491082e-07,0.0
GRO,2016,7,0,0,0.0,0.0
GRO,2016,8,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,9,0,0,0.0,0.0
GRO,2016,10,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,11,0,0,0.0,0.0
GRO,2016,12,0,0,0.0,0.0
GRO,2016,13,1,1,6.07695491082e-07,5.73655337547e-07
GRO,2016,14,0,2,0.0,1.14731067509e-06
GRO,2016,15,0,1,0.0,5.73655337547e-07
GRO,2016,16,1,0,6.07695491082e-07,0.0
GRO,2016,17,0,1,0.0,5.73655337547e-07
GRO,2016,18,3,4,1.82308647325e-06,2.29462135019e-06
GRO,2016,19,0,2,0.0,1.14731067509e-06
GRO,2016,20,0,1,0.0,5.73655337547e-07
GRO,2016,21,1,11,6.07695491082e-07,6.31020871302e-06
GRO,2016,22,0,0,0.0,0.0
GRO,2016,23,3,2,1.82308647325e-06,1.14731067509e-06
GRO,2016,24,12,48,7.29234589298e-06,2.75354562023e-05
GRO,2016,25,5,31,3.03847745541e-06,1.7783315464e-05
HID,2015,47,0,0,0.0,0.0
HID,2015,48,0,0,0.0,0.0
HID,2015,49,0,0,0.0,0.0
HID,2015,50,0,0,0.0,0.0
HID,2015,51,0,0,0.0,0.0
HID,2015,52,1,0,7.78075694316e-07,0.0
HID,2016,1,0,0,0.0,0.0
HID,2016,2,0,0,0.0,0.0
HID,2016,3,0,0,0.0,0.0
HID,2016,4,0,0,0.0,0.0
HID,2016,5,0,0,0.0,0.0
HID,2016,6,0,0,0.0,0.0
HID,2016,7,0,0,0.0,0.0
HID,2016,8,0,0,0.0,0.0
HID,2016,9,0,0,0.0,0.0
HID,2016,10,0,0,0.0,0.0
HID,2016,11,0,0,0.0,0.0
HID,2016,12,0,0,0.0,0.0
HID,2016,13,0,0,0.0,0.0
HID,2016,14,0,0,0.0,0.0
HID,2016,15,0,0,0.0,0.0
HID,2016,16,0,0,0.0,0.0
HID,2016,17,0,0,0.0,0.0
HID,2016,18,0,0,0.0,0.0
HID,2016,19,0,0,0.0,0.0
HID,2016,20,0,0,0.0,0.0
HID,2016,21,0,0,0.0,0.0
HID,2016,22,0,0,0.0,0.0
HID,2016,23,0,0,0.0,0.0
HID,2016,24,0,0,0.0,0.0
HID,2016,25,0,0,0.0,0.0
JAL,2015,47,0,0,0.0,0.0
JAL,2015,48,0,0,0.0,0.0
JAL,2015,49,0,0,0.0,0.0
JAL,2015,50,0,0,0.0,0.0
JAL,2015,51,0,0,0.0,0.0
JAL,2015,52,0,0,0.0,0.0
JAL,2016,1,0,0,0.0,0.0
JAL,2016,2,0,0,0.0,0.0
JAL,2016,3,0,0,0.0,0.0
JAL,2016,4,0,0,0.0,0.0
JAL,2016,5,0,0,0.0,0.0
JAL,2016,6,0,0,0.0,0.0
JAL,2016,7,0,0,0.0,0.0
JAL,2016,8,1,0,2.77728326706e-07,0.0
JAL,2016,9,0,0,0.0,0.0
JAL,2016,10,0,0,0.0,0.0
JAL,2016,11,0,0,0.0,0.0
JAL,2016,12,0,0,0.0,0.0
JAL,2016,13,0,0,0.0,0.0
JAL,2016,14,1,0,2.77728326706e-07,0.0
JAL,2016,15,0,0,0.0,0.0
JAL,2016,16,0,1,0.0,2.66663751143e-07
JAL,2016,17,0,0,0.0,0.0
JAL,2016,18,0,0,0.0,0.0
JAL,2016,19,0,0,0.0,0.0
JAL,2016,20,0,0,0.0,0.0
JAL,2016,21,0,1,0.0,2.66663751143e-07
JAL,2016,22,0,0,0.0,0.0
JAL,2016,23,0,0,0.0,0.0
JAL,2016,24,0,0,0.0,0.0
JAL,2016,25,0,0,0.0,0.0
MEX,2015,47,0,0,0.0,0.0
MEX,2015,48,0,0,0.0,0.0
MEX,2015,49,0,0,0.0,0.0
MEX,2015,50,0,0,0.0,0.0
MEX,2015,51,0,0,0.0,0.0
MEX,2015,52,0,0,0.0,0.0
MEX,2016,1,0,0,0.0,0.0
MEX,2016,2,0,0,0.0,0.0
MEX,2016,3,0,0,0.0,0.0
MEX,2016,4,0,0,0.0,0.0
MEX,2016,5,0,0,0.0,0.0
MEX,2016,6,0,0,0.0,0.0
MEX,2016,7,0,0,0.0,0.0
MEX,2016,8,0,0,0.0,0.0
MEX,2016,9,0,0,0.0,0.0
MEX,2016,10,0,0,0.0,0.0
MEX,2016,11,0,0,0.0,0.0
MEX,2016,12,0,0,0.0,0.0
MEX,2016,13,0,0,0.0,0.0
MEX,2016,14,0,0,0.0,0.0
MEX,2016,15,0,0,0.0,0.0
MEX,2016,16,0,0,0.0,0.0
MEX,2016,17,0,0,0.0,0.0
MEX,2016,18,0,0,0.0,0.0
MEX,2016,19,0,0,0.0,0.0
MEX,2016,20,0,0,0.0,0.0
MEX,2016,21,0,0,0.0,0.0
MEX,2016,22,0,0,0.0,0.0
MEX,2016,23,0,0,0.0,0.0
MEX,2016,24,0,0,0.0,0.0
MEX,2016,25,0,0,0.0,0.0
MIC,2015,47,0,0,0.0,0.0
MIC,2015,48,0,0,0.0,0.0
MIC,2015,49,0,0,0.0,0.0
MIC,2015,50,0,0,0.0,0.0
MIC,2015,51,0,0,0.0,0.0
MIC,2015,52,0,0,0.0,0.0
MIC,2016,1,0,0,0.0,0.0
MIC,2016,2,0,0,0.0,0.0
MIC,2016,3,0,0,0.0,0.0
MIC,2016,4,0,0,0.0,0.0
MIC,2016,5,0,0,0.0,0.0
MIC,2016,6,1,0,4.75712724697e-07,0.0
MIC,2016,7,0,0,0.0,0.0
MIC,2016,8,0,0,0.0,0.0
MIC,2016,9,0,0,0.0,0.0
MIC,2016,10,0,0,0.0,0.0
MIC,2016,11,0,0,0.0,0.0
MIC,2016,12,0,0,0.0,0.0
MIC,2016,13,1,0,4.75712724697e-07,0.0
MIC,2016,14,0,0,0.0,0.0
MIC,2016,15,0,0,0.0,0.0
MIC,2016,16,0,1,0.0,4.44656298468e-07
MIC,2016,17,0,0,0.0,0.0
MIC,2016,18,0,0,0.0,0.0
MIC,2016,19,0,1,0.0,4.44656298468e-07
MIC,2016,20,0,0,0.0,0.0
MIC,2016,21,0,0,0.0,0.0
MIC,2016,22,0,0,0.0,0.0
MIC,2016,23,0,0,0.0,0.0
MIC,2016,24,0,3,0.0,1.3339688954e-06
